"ear, head (of corn, etc.)",spik/,
"spine, backbone",spin/,
spinach,spinac/,
a spy,spion/,
breathe,spir/,
"spiral, coil",spiral/,
spirit,spirit/,
spiritist,spiritist/,
spiritualism,spiritualism/,
spiritualist,spiritualist/,
"act in defiance of, defy, flout",spit/,
"deep depression, blues, melancholy",splen/,
"splinter, chip, flake, shaving",split/,
spondee (type of verse),sponde/,
sponge,spong/,
spontaneous,spontane/,
"sport, outdoors recreation",sport/,
"witty, quick-witted, clever",sprit/,
"spur (for a horse, etc.)",spron/,
"spoor, footprint, mark, scent, track, trace",spur/,
"spit, cough up (blood, phlegm, etc.)",sput/,
staff officers (military),stab/,
stable,stabil/,
"trestle, work bench; object holding something stable",stabl/,
"station, depot (e.g. railroad)",staci/,
"stage, period, phase of development",stadi/,
stadium,stadion/,
stagnate,stagn/,
"stable, stall, shed",stal/,
stalagmite,stalagmit/,
stalactite,stalaktit/,
stamen (part of a flower),stamen/,
"stamp (with a die, etc.)",stamp/,
tin,stan/,
"standard, flag, banner",standard/,
"pole, rod",stang/,
to stand,star/,
"start, depart, leave",start/,
"state, condition",stat/,
statistics,statistik/,
statue,statu/,
"stature, height",statur/,
statute,statut/,
stearin (type of chemical),stearin/,
to quilt,steb/,
Steven,Stefan/,
star,stel/,
stenographer,stenograf/,
stenography,stenografi/,
"steppe, sandy plain",step/,
stereophony,stereofoni/,
"dung, manure",sterk/,
sterlet (type of fish),sterled/,
"lay, spread out (on the ground, etc.)",stern/,
to rattle (in the throat),stertor/,
style,stil/,
stimulate,stimul/,
stipa grass (type of plant),stip/,
"stipend, grant, scholarship",stipendi/,
steer (verb),stir/,
stofe (Russian measure),stof/,
stoic,stoik/,
"stock, goods for sale",stok/,
stomach,stomak/,
stubble,stopl/,
squint,strab/,
"strange, bizarre",strang/,
strangle,strangol/,
street,strat/,
strategy,strategi/,
strive,streb/,
"stretch, strain",streĉ/,
"make a line, streak, or stroke",strek/,
"stripe, band",stri/,
owl,strig/,
"to groom (a horse, etc.)",strigl/,
strike (labor),strik/,
strychnine,striknin/,
verse,strof/,
"structure, construction",struktur/,
ostrich,strut/,
"study, do research on",stud/,
student (of a college etc.),student/,
stucco (type of plaster),stuk/,
foolish,stult/,
"stump, stub",stump/,
type of twisted fibers used for caulking,stup/,
sturgeon (type of fish),sturg/,
starling (type of bird),sturn/,
"under, beneath, below",sub,
sudden,subit/,
subject (grammar),subjekt/,
subjective,subjektiv/,
subjunctive mood (grammar),subjunktiv/,
corrosive sublimate (type of substance),sublimat/,
substance,substanc/,
"noun, substantive",substantiv/,
"subtle, delicate, light",subtil/,
subtract,subtrah/,
"subsidy, grant (money)",subvenci/,
suck,suĉ/,
south,sud/,
Sudan,Sudan/,
suffer,sufer/,
"sufficient, enough",sufiĉ/,
suffix,sufiks/,
"prompt, supply with needed words",suflor/,
suffocate,sufok/,
suggest,sugest/,
suggest by hypnotic influence,sugesti/,
juice; sap,suk/,
amber (type of substance),sukcen/,
succeed,sukces/,
sugar,suker/,
sulphur,sulfur/,
"furrow, wrinkle, groove",sulk/,
sultan,sultan/,
sum,sum/,
sun,sun/,
soup,sup/,
"over, above",super,
superlative,superlativ/,
superstition,superstiĉ/,
supplement,suplement/,
suppose,supoz/,
"top, summit",supr/,
"upon, on",sur,
deaf,surd/,
surface,surfac/,
surprise,surpriz/,
overcoat,surtut/,
"suspicion, suspect",suspekt/,
"rustle, buzz, murmur",susur/,
cassock (type of clerical garment),sutan/,
swarm,svarm/,
act as matchmaker,svat/,
Swede,Sved/,
"faint, swoon",sven/,
to swing,sving/,
sheep,ŝaf/,
shah,ŝah/,
seem,ŝajn/,
chess,ŝak/,
jackal,ŝakal/,
shawl,ŝal/,
reed-pipe; drinking straw,ŝalm/,
"switch on, turn on (verb)",ŝalt/,
"launch, long boat",ŝalup/,
chamois-leather,ŝam/,
"chance, undesigned occurrence",ŝanc/,
"shake, rock, cause to totter",ŝancel/,
change,ŝanĝ/,
canker,ŝankr/,
charade,ŝarad/,
"charge, load (a gun, etc.)",ŝarg/,
"charge, load (a ship, etc.)",ŝarĝ/,
shark,ŝark/,
"enjoy, appreciate",ŝat/,
foam,ŝaŭm/,
"shell, peel, bark",ŝel/,
"brace, sling",ŝelk/,
chives,ŝenopraz/,
joke,ŝerc/,
she,ŝi,
shield,ŝild/,
shilling (British money),ŝiling/,
name of q German author,Ŝiller/,
"mold, blight",ŝim/,
shingle (roofing),ŝind/,
ham,ŝink/,
ship,ŝip/,
"tear, rip, pull apart",ŝir/,
"protect, guard, screen",ŝirm/,
"slime, mire, mud",ŝlim/,
"lock, fasten",ŝlos/,
to smack the lips,ŝmac/,
"smear, spread",ŝmir/,
"string, cord, rope",ŝnur/,
"name of the letter \""ŝ\""",ŝo,liternomo
chauffeur,ŝofor/,
shock,ŝok/,
highway,ŝose/,
"shove, push, thrust",ŝov/,
shovel,ŝovel/,
chauvinism,ŝovinism/,
chauvinist,ŝovinist/,
"save, keep for future use",ŝpar/,
spade,ŝpat/,
spin,ŝpin/,
"spirt out, gush forth",ŝpruc/,
cupboard,ŝrank/,
shrapnel,ŝrapnel/,
screw,ŝraŭb/,
"shrivel up, wilt",ŝrump/,
steel,ŝtal/,
"state (realm), nation",ŝtat/,
steal,ŝtel/,
"block, log",ŝtip/,
"fabric, textile",ŝtof/,
stone,ŝton/,
"stop up, plug up",ŝtop/,
storm,ŝtorm/,
stocking,ŝtrump/,
"stair, step",ŝtup/,
shoe,ŝu/,
"to be in debt, owe",ŝuld/,
shoulder,ŝultr/,
pour out (solids),ŝut/,
hover,ŝveb/,
swell,ŝvel/,
"sweat, perspire",ŝvit/,
tobacco,tabak/,
gadfly (type of insect),taban/,
"table (in a book, etc.), index",tabel/,
table,tabl/,
"board, plank",tabul/,
"stool, small backless seat",taburet/,
detachment (troops),taĉment/,
taffeta (type of textile),taft/,
day,tag/,
"cut out, fashion, shape",tajl/,
tailor,tajlor/,
type (by typewriter),tajp/,
"judge, estimate, value, appraise",taks/,
taxi,taksi/,
yew (type of tree),taksus/,
"time, rhythm (in music)",takt/,
tactics,taktik/,
"talent, aptitude",talent/,
thaler (German money),taler/,
"figure, waist",tali/,
talisman lucky charm,talisman/,
talc,talk/,
Talmud (book of Jewish civil law),Talmud/,
mole (type of animal),talp/,
drum,tambur/,
tamborine,tamburin/,
"however, nevertheless",tamen,
tom-tom (type of drum),tamtam/,
"tan (hide, etc.)",tan/,
tandem,tandem/,
tangent,tangent/,
tannin (type of substance),tanin/,
tank (military),tank/,
"tapestry, wall hanging",tapet/,
tapioca,tapiok/,
tapir,tapir/,
carpet,tapiŝ/,
tarantella (type of dance),tarantel/,
tarantula,tarantul/,
tariff,tarif/,
tarot (cards used for fortune telling),tarok/,
cup,tas/,
"task, job",task/,
tattoo,tatu/,
"be fit for, be of use",taŭg/,
"layer, stratum",tavol/,
tea,te/,
theater,teatr/,
"bore, weary, annoy",ted/,
to cover (wholly),teg/,
roof,tegment/,
tile,tegol/,
technique,teĥnik/,
theism,teism/,
theist,teist/,
technique,teknik/,
weave,teks/,
"text, wording",tekst/,
telephone,telefon/,
telegraph,telegraf/,
telegram,telegram/,
telepathy,telepati/,
plate,teler/,
telescope,teleskop/,
television (the medium),televid/,
"theme, topic",tem/,
time,temp/,
temperament,temperament/,
temperature,temperatur/,
"tempest, wind storm",tempest/,
temple (of forehead),tempi/,
"temple, place of worship",templ/,
"hold, grasp",ten/,
tent,tend/,
tendon,tenden/,
tendency,tendenc/,
"tender, affectionate",tener/,
tape-worm,teni/,
tennis,tenis/,
tenor,tenor/,
tempt,tent/,
Theodore,Teodor/,
theocrat,teokrat/,
theocracy,teokrati/,
theologian,teolog/,
theology,teologi/,
theorem,teorem/,
theory,teori/,
earth,ter/,
therapy,terapi/,
terrace,teras/,
tercet (in verse),tercet/,
turpentine,terebint/,
"terrain, ground, land",teren/,
territory,teritori/,
"term, technical name",termin/,
termite,termit/,
thermometer,termometr/,
sneeze,tern/,
"terror, horror, fright",terur/,
test,test/,
testament,testament/,
testicle,testik/,
tortoise,testud/,
tetanus,tetan/,
grouse (type of bird),tetr/,
hazel grouse (type of bird),tetra/,
"thesis, proposition",tez/,
"such, that kind of",tia,
"therefore, for that reason",tial,
then,tiam,
tiara (type of crown),tiar/,
"tibia, shin bone",tibi/,
there,tie,
"thus, so; in that way",tiel,
that one\'s,ties,
typhus,tif/,
"stem, stalk (of a plant); shaft",tig/,
tiger,tigr/,
tickle,tikl/,
lime-tree,tili/,
fear,tim/,
thyme,timian/,
"shaft, pole",timon/,
tinder (type of wood),tindr/,
moth,tine/,
tench (type of fish),tink/,
"tincture, dye, stain",tinktur/,
"chink, clank, jingle",tint/,
that (thing),tio,
"so much, that quantity",tiom,
"type, character, specimen",tip/,
typographer,tipograf/,
typography,tipografi/,
"draw, pull, drag",tir/,
tyrant,tiran/,
titan,titan/,
title,titol/,
that (one) (person or thing),tiu,
"name of the letter \""t\""",to,liternomo
toga,tog/,
linen (material),tol/,
tolerate,toler/,
tomato,tomat/,
"tomb, grave",tomb/,
pinchbeck (an allow of copper and zinc),tombak/,
"tone, sound",ton/,
"clip, shear",tond/,
thunder,tondr/,
register ton (100 cubic feet),tonel/,
tonsil,tonsil/,
tonsure (shaven part of head worn by clerics),tonsur/,
topaz,topaz/,
topographer,topograf/,
topography,topografi/,
torch,torĉ/,
"twist, wind",tord/,
"toreador, mounted bullfighter",toreador/,
"torrent, swift rushing stream",torent/,
"peat, turf, sod",torf/,
turn (on a lathe),torn/,
knapsack,tornistr/,
torpedo,torped/,
"torso, trunk",tors/,
"tart, fruit pie",tort/,
torture,tortur/,
"toast, propose (drink to)",tost/,
through (place),tra,
"beam (of wood), girder",trab/,
tradition,tradici/,
translate,traduk/,
hit the mark (goal),traf/,
traffic,trafik/,
tragedy,tragedi/,
tragic,tragik/,
tragicomedy,tragikomedi/,
"trachea, windpipe",traĥe/,
"train, series of objects in a line",trajn/,
"trait, feature, characteristic, feature",trajt/,
"transact, treat of (a subject), deal with",trakt/,
"treaty, agreement",traktat/,
tractor,traktor/,
"tram, streetcar",tram/,
"cut, cleave",tranĉ/,
"tranquil, quiet",trankvil/,
across,trans,
transept (part of a church),transept/,
transistor,transistor/,
transit (passage through a country),transit/,
transitive,transitiv/,
trapeze,trapez/,
very,tre,
club (in cards),tref/,
"train, coach, drill",trejn/,
"tremble, quake, shake",trem/,
aspen (type of tree),tremol/,
"dip, immerse, plunge",tremp/,
"drag, haul, pull, tow",tren/,
tread (verb),tret/,
"treasure, hoard, savings",trezor/,
three,tri,
tribe,trib/,
tribune; Roman leader; speaker\'s platform,tribun/,
"tribunal, court of justice",tribunal/,
tribute,tribut/,
trigonometry,trigonometri/,
knit,trik/,
knitted fabric,trikot/,
trill (in music),tril/,
drink,trink/,
"tripe, bowels, entrails",trip/,
wheat,tritik/,
"triumph, victory",triumf/,
"trivial, trifling; vulgar, base, common",trivial/,
too,tro,
"trophy, spoils",trofe/,
trough,trog/,
waterspout,tromb/,
trombone,trombon/,
"deceive, cheat",tromp/,
throne,tron/,
"trope, figure of speech",trop/,
tropic,tropik/,
trot,trot/,
"pavement, sidewalk",trotuar/,
find,trov/,
hole,tru/,
"intrude, obtrude, impose",trud/,
truffle (type of plant),truf/,
trowel,trul/,
trumpet,trumpet/,
"trunk, stem",trunk/,
"troop, band, company, team (military)",trup/,
"trust, organized syndicate (in business)",trust/,
trout (type of fish),trut/,
"groom, dress and tidy one\'s self",tualet/,
"tube, pipe",tub/,
"tuber, bump, swelling",tuber/,
"tubercle, nodule (in medicine)",tuberkul/,
tuberculosis,tuberkuloz/,
"tuft, plume; wisp",tuf/,
immediately,tuj,
a cloth,tuk/,
toucan,tukan/,
tulle (type of cloth),tul/,
tulip,tulip/,
tumor,tumor/,
"tumult, commotion, uproar",tumult/,
ton (weight),tun/,
tunnel,tunel/,
tunic,tunik/,
Tunisia,Tunizi/,
tower,tur/,
top (type of toy),turb/,
turban,turban/,
turbine,turbin/,
thrush (type of bird),turd/,
tourism,turism/,
tourist,turist/,
Turk,Turk/,popolnomo
turquoise,turkis/,
torment,turment/,
to turn,turn/,
tournament,turnir/,
turtle dove (type of bird),turt/,
cough,tus/,
touch,tuŝ/,
"whole, entire, total",tut/,
ending of the imperative in verbs,-u,finaĵo
"name of the letter \""u\""",u,liternomo
container,uj/,sufikso
"ukase, edict of czarist government",ukaz/,
person noted for...,ul/,sufikso
uhlan (cavalryman with lance),ulan/,
ulcer,ulcer/,
elm (type of tree),ulm/,
ell (cloth measure = 45 in); ulna (anatomy),uln/,
ultimatum,ultimat/,
this suffix with no fixed meaning,um/,sufikso
"umbilicus, navel",umbilik/,
ounce,unc/,
nail (of finger or toe),ung/,
union,uni/,
uniform (type of dress),uniform/,
unique,unik/,
unison,unison/,
universe,univers/,
universal,universal/,
university,universitat/,
one,unu,
aurochs (type of extinct wild ox),ur/,
hurricane,uragan/,
town,urb/,
urge,urĝ/,
urine,urin/,
urn,urn/,
capercailie (type of bird),urogal/,
bear (type of animal),urs/,
nettle (type of plant),urtik/,
Uruguay,Urugvaj/,
ending of the conditional in verbs,-us,finaĵo
United States of America,Uson/,
"womb, uterus",uter/,
useful,util/,
utopia,utopi/,
overture (in music),uvertur/,
"to use, to employ",uz/,
usury,uzur/,
usurp,uzurp/,
"name of the letter \""ŭ\""",ŭo,liternomo
"wade, splash",vad/,
"wafer, thin cake, waffle",vafl/,
"wander, drift, rove",vag/,
vagina,vagin/,
"wagon, carriage, car (for transporting people or cargo)",vagon/,
vacant,vak/,
vaccine,vakcin/,
bilberry (type of plant),vakcini/,
wax,vaks/,
vacuum,vaku/,
valley,val/,
valid,valid/,
"valise, suitcase",valiz/,
"value, worth",valor/,
waltz,vals/,
value of paper money,valut/,
vampire,vampir/,
"vain, futile",van/,
partition,vand/,
lapwing (type of bird),vanel/,
cheek,vang/,
vanilla (type of plant and spice),vanil/,
"vain, empty, frivolous, futile",vant/,
"vapor, steam",vapor/,
"ware, article of commerce",var/,
"enlist, enroll",varb/,
"vary, undergo change",vari/,
variant; variable (math),variant/,
smallpox,variol/,
"warm, hot",varm/,
Warsaw,Varsovi/,
"nurse, tend, look after (e.g. children)",vart/,
"vassal, humble servant",vasal/,
"vast, wide, extensive",vast/,
Washington,Vaŝington/,
wadding,vat/,
"vase, vessel",vaz/,
"vaseline, petroleum jelly",vazelin/,
woe!,ve,
vegetate,veget/,
plant (as in botant),vegetal/,
vegetarian,vegetar/,
vein,vejn/,
"wake, arouse",vek/,
"beam (of scales, balances, etc.)",vekt/,
a sail (e.g. of a ship),vel/,
"vellum, animal skin used for books",velen/,
"droop, fade, wither",velk/,
velocipede,velociped/,
velvet,velur/,
come,ven/,
sell,vend/,
Friday,vendred/,
poison,venen/,
Venezuela,Venezuel/,
"take revenge, avenge",venĝ/,
conquer,venk/,
wind (moving air),vent/,
ventilate,ventol/,
"belly, abdomen",ventr/,
"true, truth",ver/,
veranda (roofed open gallery),verand/,
verb,verb/,
vervain (type of plant),verben/,
green,verd/,
verdigris (type of chemical),verdigr/,
verdict,verdikt/,
"rod, stick, staff",verg/,
work (literary),verk/,
worm,verm/,
vermicelli,vermiĉel/,
vermouth (type of alcoholic beverage),vermut/,
verse,vers/,
version,versi/,
"verst (Russian unit of distance, about 2/3 mile)",verst/,
pour,verŝ/,
"top of head, crown",vert/,
vertebra,vertebr/,
"vertex, apex",vertic/,
vertical,vertikal/,
"wart, gnarl, knobby growth on tree",veruk/,
"verve, spirit, vim, zest",verv/,
wasp,vesp/,
evening,vesper/,
bat (type of animal),vespert/,
"to clothe, to dress",vest/,
"vestibule, lobby",vestibl/,
"vest,waistcoat",veŝt/,
"bet, wager",vet/,
weather,veter/,
veteran,veteran/,
veterinarian,veterinar/,
"journey, travel (by vehicle)",vetur/,
bladder; blister; bubble,vezik/,
vizier (type of Turkish minister),vezir/,
you,vi,
viaduct,viadukt/,
"meat, flesh",viand/,
vibrate,vibr/,
viburnum (type of plant),viburn/,
"row, file, rank, turn",vic/,
see,vid/,
widower,vidv/,
"animated, spirited, quick, sprightly",vigl/,
deputy; vicarious,vikari/,
victim,viktim/,
"villus; tuft of hair on fruit, plant, skin, etc.",vil/,
village,vilaĝ/,
Wilhelm,Vilhelm/,
wine,vin/,
vinegar,vinagr/,
"swaddle, wind around, wrap around",vind/,
"vignette, ornamental border",vinjet/,
periwinkle (type of plant),vink/,
"clip, fastner",vinkt/,
winter,vintr/,
violet (type of flower),viol/,
violin,violon/,
violoncello,violonĉel/,
"whip, lash",vip/,
viper (type of snake),viper/,
viper (type of snake),vipur/,
"man, male",vir/,
"virgin, chaste",virg/,
"virtue, moral excellence",virt/,
virtual,virtual/,
"virtuoso, brilliant performer",virtuoz/,
virus,virus/,
mistletoe (type of plant),visk/,
whisky,viski/,
whist (type of card game),vist/,
wipe,viŝ/,
vine,vit/,
vitamin,vitamin/,
glass (type of substance),vitr/,
vitriol (sulphuric acid),vitriol/,
"live, be alive",viv/,
"vivisection, dissection of a living animal",vivisekci/,
visa,viz/,
face,vizaĝ/,
"vision, apparition, imagined supernatural appearance",vizi/,
visor,vizier/,
visit,vizit/,
"name of the letter \""v\""",vo,liternomo
voice,voĉ/,
vodka,vodk/,
"way, road",voj/,
voyage,vojaĝ/,
call,vok/,
vowel,vokal/,
vocative case (grammar),vokativ/,
"will, choose",vol/,
willingly,volont/,
volume (as of a book),volum/,
volume (space occupied),volumen/,
"voluptuous, sensual",volupt/,
"wind, wrap around, roll",volv/,
vomit,vom/,
word,vort/,
tail,vost/,
veil,vual/,
"vulgar, common, everyday",vulgar/,
volcano,vulkan/,
fox,vulp/,
vulture,vultur/,
vulva,vulv/,
wound,vund/,
Zamenhof (author of Esperanto),Zamenhof/,
zebra,zebr/,
"zephyr, soft light wind",zefir/,
zenith,zenit/,
sable (type of animal),zibel/,
zigzag,zigzag/,
ginger (type of plant and spice),zingibr/,
zinc,zink/,
zipper,zip/,
souslik (type of animal),zizel/,
"name of the letter \""z\""",zo,liternomo
zodiac,zodiak/,
"belt, girdle, waistband",zon/,
zoologist,zoolog/,
zoology,zoologi/,
"care for, attend to, look after",zorg/,
"zouave, African infantryman",zuav/,
"hum, buzz",zum/,
